CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
1088,561778688000,0,0,2023-03-29 13:51:47 +0000 UTC,12282,true,slam-20073-k8s-as1
1097,608034816000,0,0,2023-03-29 13:52:45 +0000 UTC,11843,true,slam-20073-k8s-as1
0,0,0,0,Task has been ended,0,false,
1018,534077440000,0,0,2023-03-29 13:51:34 +0000 UTC,4548,true,slam-20073-k8s-as1
1091,574414848000,0,0,2023-03-29 13:51:57 +0000 UTC,10015,true,slam-20073-k8s-as1
1094,592003072000,0,0,2023-03-29 13:52:15 +0000 UTC,18159,true,slam-20073-k8s-as1
1096,601210880000,0,0,2023-03-29 13:52:33 +0000 UTC,18419,true,slam-20073-k8s-as1
1093,614260736000,0,0,2023-03-29 13:53:02 +0000 UTC,16803,true,slam-20073-k8s-as1
1091,619692032000,0,0,2023-03-29 13:53:12 +0000 UTC,10021,true,slam-20073-k8s-as1
1097,628301824000,0,0,2023-03-29 13:53:24 +0000 UTC,11605,true,slam-20073-k8s-as1
