CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1148,589287424000,0,0,2023-03-29 14:14:45 +0000 UTC,10250,true,slam-20146-controller
1347,609095680000,0,0,2023-03-29 14:15:00 +0000 UTC,15047,true,slam-20146-controller
1378,639725568000,0,0,2023-03-29 14:15:52 +0000 UTC,15783,true,slam-20146-controller
0,0,0,0,Task has been ended,0,false,
1384,658251776000,0,0,2023-03-29 14:16:42 +0000 UTC,14981,true,slam-20146-controller
1393,666603520000,0,0,2023-03-29 14:17:15 +0000 UTC,15327,true,slam-20146-controller
1387,667996160000,0,0,2023-03-29 14:17:25 +0000 UTC,10460,true,slam-20146-controller
1392,642981888000,0,0,2023-03-29 14:17:55 +0000 UTC,13875,true,slam-20146-controller
1373,651321344000,0,0,2023-03-29 14:18:19 +0000 UTC,12080,true,slam-20146-controller
1377,662913024000,0,0,2023-03-29 14:17:00 +0000 UTC,18052,true,slam-20146-controller
1376,647454720000,0,0,2023-03-29 14:18:07 +0000 UTC,12106,true,slam-20146-controller
71,65126400000,0,0,2023-03-29 14:14:30 +0000 UTC,10040,true,slam-20146-controller
995,258289664000,0,0,2023-03-29 14:14:35 +0000 UTC,4775,true,slam-20146-controller
1389,631832576000,0,0,2023-03-29 14:15:36 +0000 UTC,18077,true,slam-20146-controller
1379,647983104000,0,0,2023-03-29 14:16:07 +0000 UTC,14830,true,slam-20146-controller
1374,654389248000,0,0,2023-03-29 14:16:27 +0000 UTC,19992,true,slam-20146-controller
0,0,0,0,Pod Not Found,0,false,
1379,620838912000,0,0,2023-03-29 14:15:18 +0000 UTC,17966,true,slam-20146-controller
1379,671768576000,0,0,2023-03-29 14:17:41 +0000 UTC,15466,true,slam-20146-controller
1388,655405056000,0,0,2023-03-29 14:18:36 +0000 UTC,17388,true,slam-20146-controller
