CPULimit,AET,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
1000m,6m8.415180246s,984,993,6.209404586666666e+11,657076224000,1.0833333333333333,25
1100m,5m37.130468305s,1085.5,1097,6.355355648e+11,656773120000,1.15,23
1200m,5m2.65598516s,1178.4444444444443,1194,6.334837191111111e+11,653438976000,1.1666666666666667,21
1300m,4m37.010129691s,1282.2777777777778,1291,6.455425706666666e+11,668938240000,1.1666666666666667,19
1400m,4m17.897102438s,1365.1875,1393,6.44865536e+11,671768576000,1.25,18
1500m,3m57.806298292s,1465.2,1494,6.476966570666666e+11,676659200000,1.1333333333333333,17
1600m,3m42.624407086s,1563.5714285714287,1596,6.51487232e+11,681029632000,1.2142857142857142,16
1700m,3m24.279584118s,1670.5,1687,6.545380693333334e+11,685318144000,1.3333333333333333,15
1800m,3m8.07893527s,1776.8,1791,6.574370816e+11,685559808000,1.4,14
1900m,2m52.720813761s,1846.6666666666667,1888,6.487017244444445e+11,672354304000,1.3333333333333333,13
2000m,2m38.410718623s,1986.2222222222222,1996,6.541853582222222e+11,682721280000,1.4444444444444444,12
2100m,2m35.525634155s,2072.75,2088,6.55053824e+11,681897984000,1.5,12
2200m,2m22.387559036s,2155,2195,6.53926912e+11,686768128000,1.375,11
2300m,2m18.379842061s,2264.1111111111113,2293,6.5017856e+11,686755840000,1.3333333333333333,11
2400m,2m5.067405946s,2325,2394,6.470363428571428e+11,675594240000,1.5714285714285714,10
2500m,2m0.181769462s,2430.5714285714284,2490,6.528315977142858e+11,683474944000,1.4285714285714286,10
2600m,1m51.881895563s,2584.3333333333335,2589,6.597789013333334e+11,685301760000,1.5,9
2700m,1m49.127280309s,2612.8,2687,6.488293376e+11,672784384000,1.6,9
2800m,1m46.081033876s,2743.5,2794,6.522033493333334e+11,681844736000,1.5,9
2900m,1m37.839476922s,2871.8333333333335,2896,6.528314026666666e+11,681811968000,1.5,8
3000m,1m33.863400135s,2961.75,2974,6.56033792e+11,674193408000,1.75,8
3100m,1m28.855767205s,3067,3085,6.57403904e+11,675401728000,1.75,8
3200m,1m28.900122709s,3106.5,3169,6.56151552e+11,680177664000,1.75,8
3300m,1m21.64046755s,3258,3291,6.44287488e+11,667922432000,1.75,7
3400m,1m20.725257352s,3336.6666666666665,3359,6.600239786666666e+11,674734080000,2,7
3500m,1m18.633497623s,3312.25,3463,6.44732928e+11,668266496000,1.75,7
3600m,1m16.589147887s,3504.75,3507,6.61243904e+11,683761664000,1.75,7
3700m,1m9.381729345s,3610.3333333333335,3618,6.644790613333334e+11,676204544000,2,6
3800m,1m8.492124129s,3532,3667,6.463187626666666e+11,668950528000,2,6
3900m,1m5.458532516s,3764,3768,6.61399552e+11,668008448000,2.5,6
4000m,1m6.4881229s,3831,3852,6.59542016e+11,669556736000,2.5,6
4100m,1m6.488308371s,3860,3864,6.58071552e+11,667869184000,2.5,6
4200m,1m5.438725774s,3852.3333333333335,3954,6.484268373333334e+11,670961664000,2,6
4300m,59.324753586s,3896.5,3939,6.569984e+11,668344320000,2.5,5
4400m,1m0.318634146s,3976.6666666666665,3997,6.703827626666666e+11,688623616000,2,5
4500m,59.322141453s,3919,4057,6.50080256e+11,675704832000,2,5
4600m,59.331453373s,4002,4119,6.619723093333334e+11,684224512000,2,5
4700m,59.334386755s,4029.5,4037,6.62171648e+11,674451456000,2.5,5
4800m,1m0.314170435s,3985.5,4080,6.62585344e+11,674377728000,2.5,5
4900m,1m0.299299955s,3931,4121,6.544206506666666e+11,680026112000,2,5
5000m,59.304424761s,4033.6666666666665,4168,6.565300906666666e+11,672731136000,2,5
5100m,59.341350907s,4075.6666666666665,4100,6.69638656e+11,686174208000,2,5
5200m,56.240175247s,4054.6666666666665,4140,6.595734186666666e+11,677412864000,2,4
5300m,56.240273067s,4051.5,4078,6.62142976e+11,670842880000,2.5,4
5400m,56.236661036s,4033.3333333333335,4095,6.5542144e+11,680427520000,2,4
5500m,56.233968548s,4048,4128,6.68991488e+11,676982784000,2.5,4
5600m,55.242698631s,4000,4081,6.60672512e+11,670965760000,2.5,4
5700m,56.260942404s,4002,4138,6.555880106666666e+11,675323904000,2,4
5800m,56.252881027s,3935,4134,6.525242026666666e+11,679714816000,2,4
5900m,55.247984057s,3995.5,4021,6.67015168e+11,676585472000,2.5,4
0,56.234312381s,4174.5,4180,6.63826432e+11,674459648000,2.5,4
