CPULimit,GPULimit,AvgLatency,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
0,,258ms,NaN,0,NaN,0,NaN,3
0,,217ms,NaN,0,NaN,0,NaN,3
0,,195ms,NaN,0,NaN,0,NaN,3
0,,165ms,NaN,0,NaN,0,NaN,3
0,,146ms,NaN,0,NaN,0,NaN,3
0,,130ms,NaN,0,NaN,0,NaN,3
0,,120ms,NaN,0,NaN,0,NaN,3
0,,111ms,NaN,0,NaN,0,NaN,3
0,,101ms,NaN,0,NaN,0,NaN,3
0,,94ms,NaN,0,NaN,0,NaN,3
0,,88ms,NaN,0,NaN,0,NaN,3
0,,82ms,NaN,0,NaN,0,NaN,3
0,,77ms,NaN,0,NaN,0,NaN,3
0,,75ms,NaN,0,NaN,0,NaN,3
0,,70ms,NaN,0,NaN,0,NaN,3
0,,66ms,NaN,0,NaN,0,NaN,3
0,,63ms,NaN,0,NaN,0,NaN,3
0,,61ms,NaN,0,NaN,0,NaN,3
0,,59ms,NaN,0,NaN,0,NaN,3
0,,57ms,NaN,0,NaN,0,NaN,3
0,,56ms,NaN,0,NaN,0,NaN,3
