CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
717,433115136000,0,0,2023-03-27 13:03:20 +0000 UTC,10018,true,slam-9012-controller
1600,639565824000,0,0,2023-03-27 13:03:51 +0000 UTC,13597,true,slam-9012-controller
1596,670314496000,0,0,2023-03-27 13:04:31 +0000 UTC,14191,true,slam-9012-controller
1591,680767488000,0,0,2023-03-27 13:04:55 +0000 UTC,11688,true,slam-9012-controller
1496,589074432000,0,0,2023-03-27 13:03:22 +0000 UTC,1956,true,slam-9012-controller
1597,623161344000,0,0,2023-03-27 13:03:37 +0000 UTC,15650,true,slam-9012-controller
1598,655351808000,0,0,2023-03-27 13:04:04 +0000 UTC,12620,true,slam-9012-controller
1596,663494656000,0,0,2023-03-27 13:04:16 +0000 UTC,12778,true,slam-9012-controller
1605,675848192000,0,0,2023-03-27 13:04:43 +0000 UTC,12696,true,slam-9012-controller
1598,694788096000,0,0,2023-03-27 13:05:14 +0000 UTC,19355,true,slam-9012-controller
0,0,0,0,Task has been ended,0,false,
