CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1097,571351040000,0,0,2023-03-28 02:48:15 +0000 UTC,11561,true,slam-9053-k8s-as1
1102,580100096000,0,0,2023-03-28 02:48:27 +0000 UTC,11941,true,slam-9053-k8s-as1
1102,599715840000,0,0,2023-03-28 02:49:11 +0000 UTC,10934,true,slam-9053-k8s-as1
1100,607686656000,0,0,2023-03-28 02:49:41 +0000 UTC,17649,true,slam-9053-k8s-as1
0,0,0,0,Pod Not Found,0,false,
1087,545632256000,0,0,2023-03-28 02:47:48 +0000 UTC,8429,true,slam-9053-k8s-as1
1102,562552832000,0,0,2023-03-28 02:48:03 +0000 UTC,14927,true,slam-9053-k8s-as1
1098,615632896000,0,0,2023-03-28 02:50:00 +0000 UTC,19633,true,slam-9053-k8s-as1
0,0,0,0,Task has been ended,0,false,
1101,590082048000,0,0,2023-03-28 02:48:46 +0000 UTC,19172,true,slam-9053-k8s-as1
1096,596131840000,0,0,2023-03-28 02:49:00 +0000 UTC,13987,true,slam-9053-k8s-as1
1098,602710016000,0,0,2023-03-28 02:49:23 +0000 UTC,12357,true,slam-9053-k8s-as1
