CPULimit,AET,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
1000m,2m14.452493431s,976.4285714285714,999,6.499597165714286e+11,685056000000,1.2857142857142858,1
1100m,2m5.453043378s,1094.5,1100,6.494419626666666e+11,678731776000,1.3333333333333333,1
1200m,1m50.391530292s,1195.4285714285713,1201,6.531949714285714e+11,686804992000,1.2857142857142858,1
1300m,1m46.37355448s,1296.5,1301,6.48900608e+11,681398272000,1.3333333333333333,1
1400m,1m35.327443825s,1398.4285714285713,1407,6.536695222857142e+11,687853568000,1.4285714285714286,1
1500m,1m33.313832789s,1497.25,1498,6.52898304e+11,673083392000,1.75,1
1600m,1m30.323395735s,1599.4,1607,6.541074432e+11,684945408000,1.4,1
1700m,1m29.317171602s,1667.8333333333333,1704,6.453159253333334e+11,677507072000,1.3333333333333333,1
1800m,1m28.285275812s,1770.1666666666667,1803,6.47163904e+11,675704832000,1.3333333333333333,1
1900m,1m26.291336783s,1831.4,1910,6.411681792e+11,673419264000,1.4,1
2000m,1m23.294868623s,2000.2,2007,6.514573312e+11,682668032000,1.4,1
2100m,1m21.263880532s,2106.25,2130,6.54974976e+11,678981632000,1.75,1
2200m,1m14.25557828s,2199,2202,6.59826688e+11,688848896000,1.75,1
2300m,1m13.258692685s,2240.6,2306,6.564913152e+11,684883968000,1.4,1
2400m,1m10.264141715s,4434,4434,6.02247168e+11,687321088000,7,1
2500m,1m6.22276255s,2497.3333333333335,2502,6.43026944e+11,671047680000,2,1
2600m,1m5.232230841s,2595.3333333333335,2599,6.68020736e+11,693460992000,2,1
2700m,1m2.216481768s,2653.6666666666665,2703,6.505130666666666e+11,673574912000,1.6666666666666667,1
2800m,1m0.193264414s,2791.6666666666665,2794,6.623368533333334e+11,677466112000,2,1
2900m,1m1.212764506s,2891.25,2904,6.64723456e+11,697196544000,1.75,1
3000m,59.203969251s,2917.6666666666665,2987,6.550869333333334e+11,682336256000,1.6666666666666667,1
3100m,58.208976064s,3028,3079,6.53574144e+11,689979392000,1.5,1
3200m,55.199324439s,3124.5,3161,6.44585472e+11,665391104000,2,1
3300m,55.192618876s,3294.3333333333335,3337,6.503424e+11,678211584000,2,1
3400m,55.189824962s,3387,3458,6.572946773333334e+11,688353280000,2,1
3500m,52.18012915s,3443,3445,6.63228416e+11,682053632000,2,1
3600m,52.201450835s,6477,6477,6.18713088e+11,668680192000,5,1
3700m,53.194592004s,3608,3633,6.599243093333334e+11,698494976000,2,1
3800m,53.194069297s,3666.6666666666665,3706,6.57014784e+11,680640512000,1.6666666666666667,1
3900m,51.192039611s,3669.5,3770,6.35488256e+11,665591808000,2,1
4000m,52.180535755s,3652.5,3807,6.4986112e+11,666361856000,2,1
4100m,51.166739602s,3917,3949,6.5547264e+11,669650944000,2.5,1
4200m,51.173900386s,3964,4007,6.52771328e+11,667652096000,2.5,1
4300m,51.176876635s,3853.6666666666665,3961,6.53340672e+11,683962368000,2,1
4400m,51.17561029s,3964,3966,6.751744e+11,689491968000,2.5,1
4500m,50.178404754s,4012.5,4019,6.55925248e+11,674795520000,2.5,1
4600m,50.174890419s,4079,4093,6.56510976e+11,674824192000,2.5,1
4700m,49.168010104s,3930.3333333333335,4030,6.588716373333334e+11,689434624000,2,1
4800m,51.164378406s,3918.5,4010,6.50061824e+11,665698304000,2.5,1
4900m,50.167535783s,3815,4120,6.535686826666666e+11,688345088000,1.6666666666666667,1
5000m,50.170160378s,4083,4083,6.73370112e+11,673370112000,4,1
5100m,51.178848845s,4047,4047,6.7168256e+11,671682560000,4,1
5200m,50.156782326s,3964,4041,6.47841792e+11,671219712000,2.5,1
5300m,51.158161816s,3865.6666666666665,3997,6.490985813333334e+11,675868672000,1.6666666666666667,1
5400m,51.174227178s,3932,4070,6.587938133333334e+11,687263744000,1.6666666666666667,1
5500m,51.175216735s,4071,4101,6.711296e+11,678686720000,2.5,1
5600m,50.171588526s,4035,4079,6.47426048e+11,664121344000,2.5,1
5700m,51.155809213s,4028,4143,6.44571136e+11,668086272000,2.5,1
5800m,50.169298296s,3849,3999,6.5046528e+11,670986240000,2.5,1
5900m,50.163521051s,3759.5,3993,6.52519424e+11,672841728000,2,1
0,50.155502014s,3944,3948,6.80105984e+11,698245120000,2.5,1
